timestamp,setup_id,setup_active,symbol,price,direction,score,trend_score,structure_score,entry_score,rr_score,distance_to_entry_zone,distance_penalty,raw_signal,raw_confidence,final_signal,final_confidence,signal,confidence,entry,stop_loss,take_profit,rr,reason,comment,notify,timeframe,atr_1h,atr_4h,atr_1d,price_position_1h,price_position_4h,price_position_1d,trend_ema_1h,trend_ema_4h,trend_ema_1d,trend_macd_1h,trend_macd_4h,trend_macd_1d
2026-06-23T13:53:51.319694+00:00,,,BTC/USDT,62443.3,NO TRADE,45%,,,,,,,NO TRADE,45%,NO TRADE,45%,NO TRADE,45%,,,,,"Конфликт сигналов между таймфреймами, высокая волатильность (ATR14=2131 на 1d) и неоднозначность RSI (ниже 30 на 1h, но выше на 4h/1d).",,,,,,,,,,,,,,,
2026-06-23T13:55:27.321161+00:00,,,ETH/USDT,1661.7,NO TRADE,45%,,,,,,,NO TRADE,45%,NO TRADE,45%,NO TRADE,45%,,,,,Конфликт сигналов между таймфреймами и RSI14 ниже 30 снижает уверенность в медвежьем тренде.,,,,,,,,,,,,,,,
2026-06-23T13:56:38.899269+00:00,,,SOL/USDT,69.08,NO TRADE,55%,,,,,,,NO TRADE,55%,NO TRADE,55%,NO TRADE,55%,,,,,"Конфликт сигналов между таймфреймами, слабый медвежий тренд на 1D и 1H противоречит нейтральному 4H. RSI14 на 1H указывает на перепроданность, но не подтверждает уверенность в SHORT.",,,,,,,,,,,,,,,
2026-06-23T14:09:50.900958+00:00,,,BTC/USDT,62523.0,NO TRADE,55%,,,,,,,NO TRADE,55%,NO TRADE,55%,NO TRADE,55%,62523.0,,,,"Конфликтующие сигналы MACD на 1d и RSI, слабая согласованность трендов, цена в середине диапазона без явного пробоя.",,,multi,403.79413221677703,785.9902918867158,2131.137773344715,21.597362154240702,15.970416124837463,41.518299621893455,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BULLISH
2026-06-23T14:11:31.314731+00:00,,,ETH/USDT,1663.45,NO TRADE,55%,,,,,,,NO TRADE,55%,NO TRADE,55%,NO TRADE,55%,1663.45,,,,"Тренды 1d, 4h и 1h согласованы в медвежьем направлении, но RSI14 (31.25–36.80) не подтверждает сильную перепроданность, а цена находится в середине диапазона 20 свечей (45.87% на 1d), что снижает уверенность в SHORT. MACD на 1d показывает противоречивый сигнал (BULLISH Histogram), что ослабляет тренд.",,,multi,14.519333345194685,28.648018502523207,79.7873256750541,27.485768500948772,19.920236539916118,45.87262440156684,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BULLISH
2026-06-23T14:12:29.864039+00:00,,,SOL/USDT,69.26,NO TRADE,45%,,,,,,,NO TRADE,45%,NO TRADE,45%,NO TRADE,45%,69.26,,,,"Конфликт трендов на 1d (BEARISH) и 4h (BULLISH), слабый сигнал на 1h (BEARISH). Цена близка к нижней границе диапазона, но отсутствие согласованных сигналов снижает уверенность.",,,multi,0.710047457265338,1.4915605266243894,3.8457976418412074,22.916666666666856,16.058394160584047,57.29492798998126,BEARISH,BULLISH,BEARISH,BEARISH,BEARISH,BULLISH
2026-06-23T14:25:29.489659+00:00,,,BTC/USDT,62644.1,NO TRADE,55%,,,,,,,NO TRADE,55%,NO TRADE,55%,NO TRADE,55%,62644.1,,,,Конфликт трендов на 1d (BULLISH MACD) и 4h/1h (BEARISH). Цена в середине диапазона 20 свечей без явного пробоя. RSI не подтверждает сильный SHORT.,,,multi,420.6155607882056,802.8117204581444,2131.137773344715,26.03407217439086,19.251192024273927,42.96709616631793,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BULLISH
2026-06-23T14:27:31.145935+00:00,,,ETH/USDT,0.0,NO TRADE,0%,,,,,,,NO TRADE,0%,NO TRADE,0%,NO TRADE,0%,0.0,,,,"Ошибка анализа ETH/USDT: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)",,,multi,,,,,,,,,,,,
2026-06-23T14:29:32.135926+00:00,,,SOL/USDT,0.0,NO TRADE,0%,,,,,,,NO TRADE,0%,NO TRADE,0%,NO TRADE,0%,0.0,,,,"Ошибка анализа SOL/USDT: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)",,,multi,,,,,,,,,,,,
2026-06-23T14:43:25.107230+00:00,,,BTC/USDT,62603.7,NO TRADE,45%,,,,,,,NO TRADE,45%,NO TRADE,45%,NO TRADE,45%,62603.7,,,,"Конфликт трендов на 1d (BULLISH MACD) и медвежьих EMA/MACD на 4h/1h. Цена в середине диапазона 20 свечей на 1d, RSI не подтверждает сильный SHORT. Низкая уверенность из-за несогласованных сигналов.",,,multi,420.6155607882056,802.8117204581444,2131.137773344715,24.553947609452173,18.63079757260505,42.719919728840054,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BULLISH
